Generation,Minimum Fitness,Maximum Fitness,Average Fitness,Standard deviation
1,20.033,49.933,32.989,5.842
2,19.6,41.767,29.69,4.548
3,19.567,36.5,27.215,3.545
4,19.233,33.0,25.371,2.965
5,18.867,30.267,23.851,2.502
6,18.333,28.367,22.639,2.116
7,17.9,26.833,21.697,1.808
8,17.3,25.433,20.882,1.57
9,17.1,24.833,20.271,1.405
10,16.567,24.0,19.71,1.353
11,16.267,23.533,19.21,1.326
12,15.8,22.867,18.706,1.274
13,15.367,22.033,18.243,1.223
14,15.167,21.633,17.777,1.213
15,14.7,21.3,17.294,1.176
16,14.133,21.1,16.845,1.189
17,13.867,20.233,16.413,1.143
18,13.467,19.867,15.967,1.114
19,13.167,19.133,15.569,1.125
20,12.8,18.933,15.145,1.121
21,12.433,18.533,14.779,1.111
22,12.233,18.0,14.393,1.065
23,11.9,17.967,14.057,1.057
24,11.5,17.5,13.688,1.035
25,11.267,17.067,13.379,1.013
26,11.0,16.867,13.058,0.987
27,10.7,16.233,12.76,0.967
28,10.6,16.1,12.471,0.981
29,10.167,16.167,12.209,1.033
30,9.933,15.433,11.914,0.999
31,9.833,15.567,11.654,1.009
32,9.533,15.067,11.379,1.0
33,9.367,14.567,11.118,0.946
34,9.167,14.8,10.872,0.947
35,8.8,14.167,10.643,0.921
36,8.533,14.2,10.413,0.951
37,8.3,13.533,10.179,0.929
38,8.133,13.5,9.958,0.965
39,8.067,13.3,9.681,0.934
40,8.0,13.4,9.449,0.943
41,7.667,12.667,9.194,0.871
42,7.533,12.6,8.994,0.869
43,7.433,12.367,8.819,0.875
44,7.233,12.467,8.654,0.883
45,7.133,12.033,8.505,0.856
46,7.033,11.933,8.355,0.861
47,6.867,12.167,8.217,0.917
48,6.633,11.567,8.049,0.878
49,6.567,11.433,7.866,0.853
50,6.367,11.4,7.693,0.876
51,6.133,11.1,7.518,0.859
52,6.0,10.9,7.358,0.85
53,6.0,11.1,7.238,0.889
54,5.767,10.733,7.103,0.879
55,5.633,10.733,6.975,0.897
56,5.467,10.233,6.807,0.856
57,5.267,9.933,6.676,0.844
58,5.2,10.333,6.538,0.857
59,5.1,10.067,6.376,0.848
60,4.833,9.9,6.248,0.88
61,4.667,9.9,6.086,0.894
62,4.533,9.633,5.954,0.918
63,4.533,9.7,5.799,0.903
64,4.4,9.367,5.651,0.886
65,4.2,9.267,5.482,0.876
66,4.033,9.033,5.336,0.882
67,4.0,8.733,5.192,0.856
68,3.833,8.767,5.109,0.913
69,3.733,8.7,4.972,0.865
70,3.6,8.533,4.87,0.856
71,3.567,8.4,4.779,0.896
72,3.567,8.367,4.643,0.884
73,3.367,8.3,4.543,0.914
74,3.4,7.967,4.401,0.874
75,3.267,8.167,4.311,0.903
76,3.133,7.967,4.186,0.87
77,3.133,7.433,4.073,0.856
78,3.0,7.5,3.987,0.862
79,3.0,7.433,3.888,0.859
80,2.833,7.3,3.794,0.843
81,2.733,7.6,3.746,0.884
82,2.667,7.233,3.635,0.83
83,2.633,7.333,3.538,0.854
84,2.5,7.067,3.452,0.823
85,2.333,7.267,3.379,0.863
86,2.267,7.033,3.285,0.831
87,2.267,6.8,3.22,0.824
88,2.167,6.533,3.144,0.806
89,2.133,6.567,3.095,0.858
90,2.033,6.6,2.994,0.854
91,2.033,6.6,2.91,0.853
92,1.967,6.667,2.832,0.864
93,1.933,6.233,2.743,0.828
94,1.867,6.367,2.693,0.87
95,1.8,6.367,2.608,0.847
96,1.767,6.1,2.562,0.849
97,1.767,6.0,2.491,0.8
98,1.733,6.133,2.481,0.834
99,1.633,5.933,2.413,0.79
100,1.567,5.767,2.383,0.789
101,1.533,6.333,2.374,0.865
102,1.5,5.933,2.308,0.828
103,1.5,5.9,2.279,0.867
104,1.433,6.167,2.205,0.862
105,1.367,5.733,2.14,0.842
106,1.3,5.8,2.069,0.832
107,1.333,5.8,2.018,0.84
108,1.3,5.333,1.97,0.809
109,1.3,5.8,1.939,0.846
110,1.233,5.5,1.899,0.841
111,1.2,5.333,1.838,0.798
112,1.067,5.633,1.802,0.826
113,1.067,5.2,1.773,0.809
114,1.033,5.433,1.78,0.87
115,1.0,5.7,1.733,0.863
116,1.0,5.3,1.68,0.84
117,0.933,5.167,1.623,0.83
118,0.9,5.1,1.575,0.836
119,0.833,5.3,1.54,0.864
120,0.867,5.1,1.502,0.841
121,0.867,5.267,1.458,0.836
122,0.833,4.667,1.396,0.764
123,0.767,5.033,1.385,0.82
124,0.767,5.033,1.37,0.833
125,0.767,5.3,1.357,0.871
126,0.733,4.7,1.305,0.822
127,0.7,4.933,1.29,0.857
128,0.6,5.133,1.243,0.838
129,0.633,4.867,1.205,0.809
130,0.6,4.633,1.189,0.832
131,0.6,5.0,1.169,0.849
132,0.6,4.7,1.121,0.796
133,0.567,4.433,1.092,0.777
134,0.567,4.433,1.084,0.77
135,0.6,4.7,1.095,0.82
136,0.6,4.9,1.08,0.838
137,0.533,4.667,1.076,0.827
138,0.567,4.8,1.046,0.824
139,0.567,4.6,1.025,0.803
140,0.567,4.5,1.021,0.82
141,0.533,4.533,1.008,0.806
142,0.5,4.5,0.988,0.793
143,0.5,4.5,0.986,0.822
144,0.467,4.9,0.975,0.84
145,0.4,4.733,0.967,0.846
146,0.367,4.867,0.929,0.835
147,0.333,4.767,0.94,0.864
148,0.333,4.433,0.913,0.836
149,0.367,4.3,0.888,0.801
150,0.367,4.5,0.867,0.819
151,0.367,4.1,0.835,0.793
152,0.367,4.567,0.869,0.875
153,0.367,4.367,0.818,0.846
154,0.367,4.333,0.78,0.802
155,0.367,4.567,0.761,0.815
156,0.333,4.3,0.73,0.797
157,0.333,4.167,0.738,0.794
158,0.267,4.133,0.73,0.775
159,0.3,4.567,0.752,0.825
160,0.3,4.133,0.716,0.783
161,0.267,5.033,0.774,0.888
162,0.233,3.933,0.69,0.755
163,0.2,4.833,0.721,0.845
164,0.2,4.533,0.682,0.803
165,0.2,4.3,0.695,0.804
166,0.2,4.1,0.666,0.786
167,0.2,4.167,0.666,0.799
168,0.2,4.367,0.684,0.85
169,0.2,4.033,0.63,0.785
170,0.167,4.3,0.616,0.802
171,0.167,4.267,0.612,0.823
172,0.167,4.567,0.588,0.819
173,0.167,4.167,0.585,0.811
174,0.167,4.133,0.564,0.779
175,0.2,4.1,0.545,0.763
176,0.167,4.3,0.577,0.815
177,0.2,4.0,0.585,0.799
178,0.2,4.2,0.57,0.803
179,0.167,4.0,0.58,0.81
180,0.167,4.067,0.57,0.802
181,0.167,4.367,0.592,0.838
182,0.167,4.1,0.565,0.8
183,0.167,3.867,0.549,0.769
184,0.167,3.967,0.547,0.777
185,0.167,4.1,0.557,0.799
186,0.167,4.3,0.567,0.824
187,0.167,4.133,0.54,0.795
188,0.167,3.733,0.528,0.768
189,0.133,4.2,0.526,0.795
190,0.133,4.2,0.529,0.795
191,0.133,3.933,0.54,0.788
192,0.133,3.967,0.533,0.782
193,0.133,4.3,0.554,0.829
194,0.133,4.133,0.569,0.842
195,0.1,4.3,0.548,0.839
196,0.133,4.1,0.527,0.786
197,0.133,4.067,0.567,0.84
198,0.133,4.3,0.559,0.847
199,0.133,4.4,0.576,0.864
200,0.133,4.3,0.522,0.808
201,0.133,4.133,0.535,0.825
202,0.133,4.233,0.517,0.825
203,0.133,4.1,0.5,0.796
204,0.067,4.4,0.513,0.838
205,0.067,4.133,0.501,0.804
206,0.067,4.0,0.481,0.784
207,0.067,4.033,0.49,0.806
208,0.067,3.867,0.476,0.778
209,0.067,3.967,0.494,0.822
210,0.067,3.867,0.445,0.765
211,0.067,4.0,0.465,0.833
212,0.067,4.2,0.462,0.834
213,0.067,3.867,0.433,0.773
214,0.067,4.233,0.448,0.824
215,0.067,4.3,0.427,0.801
216,0.067,4.3,0.459,0.842
217,0.067,4.267,0.464,0.841
218,0.033,4.1,0.423,0.793
219,0.033,4.067,0.449,0.831
220,0.033,4.467,0.471,0.87
221,0.033,4.1,0.443,0.823
222,0.033,4.4,0.429,0.834
223,0.033,4.133,0.446,0.836
224,0.033,4.367,0.444,0.849
225,0.033,4.067,0.424,0.814
226,0.033,3.967,0.416,0.811
227,0.033,3.9,0.408,0.798
228,0.033,4.233,0.426,0.84
229,0.033,3.967,0.41,0.81
230,0.033,3.833,0.372,0.758
231,0.033,4.167,0.405,0.808
232,0.033,4.133,0.414,0.835
233,0.033,3.933,0.384,0.79
234,0.033,4.1,0.42,0.837
235,0.033,4.067,0.419,0.829
236,0.033,4.067,0.417,0.825
237,0.033,3.733,0.373,0.758
238,0.033,4.067,0.395,0.817
239,0.033,3.933,0.394,0.791
240,0.033,3.8,0.375,0.781
241,0.033,4.133,0.427,0.84
242,0.033,4.267,0.445,0.854
243,0.033,4.2,0.406,0.825
244,0.033,4.433,0.419,0.862
245,0.033,4.567,0.422,0.858
246,0.033,4.133,0.414,0.811
247,0.033,3.833,0.398,0.78
248,0.033,4.367,0.416,0.834
249,0.033,4.3,0.408,0.814
250,0.033,3.867,0.405,0.801
251,0.033,4.033,0.412,0.818
252,0.033,4.033,0.414,0.825
253,0.033,4.033,0.408,0.839
254,0.033,3.967,0.383,0.774
255,0.033,4.1,0.41,0.832
256,0.033,4.2,0.423,0.838
257,0.033,4.133,0.407,0.793
258,0.033,4.133,0.404,0.811
259,0.033,4.167,0.415,0.828
260,0.033,4.0,0.38,0.78
261,0.033,4.133,0.409,0.82
262,0.033,4.033,0.387,0.792
263,0.0,4.033,0.409,0.817
264,0.0,3.867,0.413,0.795
265,0.0,3.833,0.401,0.803
266,0.0,4.0,0.396,0.793
267,0.0,3.6,0.365,0.746
268,0.0,3.967,0.403,0.807
269,0.0,4.267,0.408,0.826
270,0.0,4.267,0.422,0.844
271,0.0,3.933,0.417,0.82
272,0.0,4.0,0.396,0.808
273,0.0,3.8,0.402,0.79
274,0.0,3.833,0.386,0.801
275,0.0,4.367,0.403,0.843
276,0.0,4.233,0.398,0.836
277,0.0,4.033,0.375,0.806
278,0.0,3.867,0.379,0.807
279,0.0,4.0,0.387,0.814
280,0.0,4.033,0.396,0.833
281,0.0,3.767,0.385,0.816
282,0.0,4.067,0.354,0.798
283,0.0,4.233,0.371,0.826
284,0.0,4.167,0.381,0.823
285,0.0,3.933,0.355,0.788
286,0.0,4.1,0.391,0.828
287,0.0,4.1,0.379,0.812
288,0.0,4.067,0.393,0.843
289,0.0,4.2,0.387,0.834
290,0.0,4.033,0.394,0.828
291,0.0,3.967,0.367,0.79
292,0.0,3.9,0.369,0.788
293,0.0,4.133,0.391,0.845
294,0.0,3.867,0.379,0.8
295,0.0,3.633,0.345,0.763
296,0.0,4.0,0.367,0.798
297,0.0,3.867,0.376,0.81
298,0.0,4.0,0.381,0.802
299,0.0,4.367,0.409,0.876
