Generation,Minimum Fitness,Maximum Fitness,Average Fitness,Standard deviation
1,21.067,49.867,33.151,5.739
2,20.9,41.467,29.946,4.264
3,20.6,36.467,27.613,3.344
4,20.3,32.433,25.836,2.733
5,19.667,30.6,24.436,2.301
6,19.267,28.5,23.251,1.936
7,18.7,27.433,22.316,1.68
8,18.433,25.8,21.585,1.409
9,18.2,24.833,20.972,1.234
10,17.433,24.833,20.448,1.239
11,16.933,24.033,19.944,1.166
12,16.5,23.867,19.464,1.191
13,16.267,23.067,18.995,1.161
14,15.9,22.633,18.499,1.174
15,15.5,21.967,18.053,1.134
16,15.067,21.7,17.595,1.073
17,14.833,21.667,17.216,1.118
18,14.567,20.733,16.784,1.026
19,14.2,20.433,16.405,1.014
20,13.967,19.867,16.04,0.985
21,13.633,19.7,15.723,1.001
22,13.4,19.2,15.393,0.948
23,13.1,18.767,15.058,0.953
24,12.867,18.067,14.723,0.905
25,12.567,18.633,14.446,0.958
26,12.2,18.3,14.145,0.941
27,12.233,18.2,13.87,0.94
28,11.8,17.467,13.587,0.915
29,11.467,17.733,13.318,0.952
30,11.3,16.667,13.021,0.886
31,11.0,16.3,12.742,0.846
32,10.7,16.333,12.499,0.899
33,10.367,16.867,12.267,0.943
34,10.433,16.333,12.022,0.932
35,10.2,16.167,11.785,0.951
36,9.967,15.667,11.567,0.941
37,9.633,15.267,11.3,0.922
38,9.433,15.367,11.048,0.904
39,9.333,14.633,10.822,0.85
40,9.167,14.267,10.605,0.808
41,9.033,14.633,10.433,0.857
42,8.833,14.467,10.261,0.848
43,8.733,14.133,10.088,0.87
44,8.5,14.233,9.901,0.889
45,8.167,13.733,9.699,0.89
46,7.967,13.133,9.461,0.819
47,7.867,13.133,9.275,0.838
48,7.867,13.067,9.116,0.854
49,7.633,12.9,8.963,0.844
50,7.5,12.5,8.772,0.818
51,7.367,12.6,8.629,0.894
52,7.2,12.9,8.456,0.926
53,7.033,12.5,8.263,0.89
54,6.967,12.133,8.096,0.832
55,6.833,12.2,7.968,0.859
56,6.733,11.7,7.833,0.796
57,6.567,12.0,7.739,0.857
58,6.5,11.467,7.576,0.772
59,6.267,11.8,7.455,0.831
60,6.167,11.6,7.349,0.844
61,6.067,11.033,7.209,0.824
62,6.033,11.267,7.061,0.866
63,6.0,11.267,6.926,0.852
64,5.867,11.133,6.791,0.852
65,5.767,10.667,6.656,0.802
66,5.667,10.4,6.545,0.78
67,5.6,10.8,6.467,0.814
68,5.4,10.833,6.363,0.817
69,5.4,10.633,6.293,0.799
70,5.267,10.167,6.216,0.804
71,5.267,10.0,6.087,0.762
72,5.167,10.167,6.035,0.81
73,5.067,9.733,5.926,0.764
74,5.0,10.033,5.823,0.79
75,4.9,9.767,5.73,0.795
76,4.767,10.133,5.664,0.856
77,4.667,9.433,5.549,0.769
78,4.533,9.533,5.48,0.819
79,4.4,9.633,5.385,0.832
80,4.333,9.367,5.305,0.842
81,4.367,9.067,5.204,0.809
82,4.333,9.467,5.115,0.798
83,4.3,9.333,5.061,0.83
84,4.167,8.9,4.974,0.801
85,4.033,8.8,4.862,0.767
86,3.867,8.967,4.828,0.82
87,3.933,8.567,4.734,0.761
88,3.933,8.967,4.682,0.807
89,3.8,8.467,4.613,0.792
90,3.667,8.967,4.536,0.835
91,3.567,8.433,4.425,0.772
92,3.433,8.8,4.355,0.83
93,3.4,8.033,4.257,0.765
94,3.4,8.4,4.192,0.82
95,3.333,8.767,4.112,0.842
96,3.133,8.0,4.025,0.805
97,3.033,8.033,3.947,0.843
98,3.033,8.067,3.866,0.843
99,2.933,7.633,3.73,0.777
100,2.9,7.9,3.679,0.83
101,2.867,7.1,3.572,0.729
102,2.867,8.667,3.542,0.903
103,2.867,7.3,3.419,0.75
104,2.8,7.767,3.385,0.852
105,2.767,7.567,3.312,0.827
106,2.733,7.367,3.237,0.768
107,2.6,7.333,3.178,0.757
108,2.567,7.5,3.167,0.801
109,2.533,7.6,3.148,0.845
110,2.467,7.0,3.084,0.766
111,2.467,7.267,3.074,0.794
112,2.433,7.2,3.053,0.83
113,2.4,7.267,2.998,0.812
114,2.367,7.567,2.964,0.885
115,2.267,6.967,2.871,0.765
116,2.333,7.033,2.851,0.781
