Generation,Minimum Fitness,Maximum Fitness,Average Fitness,Standard deviation
1,20.867,49.633,32.976,5.726
2,20.967,40.3,29.664,4.257
3,20.833,35.6,27.438,3.289
4,20.467,32.767,25.751,2.767
5,19.967,30.333,24.349,2.308
6,19.4,28.3,23.197,1.869
7,18.733,26.8,22.364,1.597
8,18.433,26.033,21.661,1.472
9,17.833,25.1,21.006,1.404
10,17.767,24.333,20.445,1.322
11,17.167,23.5,19.9,1.278
12,16.967,23.5,19.377,1.246
13,16.4,22.8,18.917,1.187
14,16.2,22.133,18.481,1.174
15,15.533,21.533,17.981,1.119
16,15.233,21.4,17.546,1.122
17,14.7,20.7,17.178,1.078
18,14.5,20.3,16.819,1.034
19,14.233,19.833,16.495,1.042
20,13.833,19.667,16.089,1.012
21,13.633,19.1,15.751,1.005
22,13.233,19.0,15.408,1.055
23,12.967,18.4,15.024,1.016
24,12.533,18.2,14.696,1.039
25,12.233,17.767,14.35,1.024
26,12.167,17.533,14.022,1.038
27,11.767,17.167,13.686,1.034
28,11.733,16.633,13.335,0.979
29,11.267,16.433,13.02,0.949
30,11.167,16.333,12.775,0.974
31,10.833,15.633,12.507,0.874
32,10.733,15.633,12.32,0.879
33,10.3,15.4,12.091,0.884
34,10.167,15.033,11.879,0.886
35,9.867,14.933,11.644,0.92
36,9.733,14.8,11.433,0.95
37,9.4,14.233,11.165,0.901
38,9.1,14.5,10.943,0.974
39,9.067,13.9,10.692,0.943
40,8.767,13.9,10.426,0.939
41,8.7,13.333,10.166,0.89
42,8.567,13.267,9.968,0.904
43,8.333,13.233,9.779,0.907
44,8.133,13.2,9.616,0.921
45,8.033,12.6,9.412,0.847
46,7.8,12.667,9.256,0.895
47,7.733,12.4,9.089,0.88
48,7.5,12.067,8.878,0.828
49,7.567,12.233,8.754,0.878
50,7.3,11.7,8.564,0.852
51,7.133,11.767,8.416,0.884
52,6.9,12.067,8.236,0.915
53,6.833,11.967,8.084,0.908
54,6.7,11.5,7.926,0.869
55,6.533,11.033,7.78,0.824
56,6.533,11.267,7.658,0.86
57,6.367,10.567,7.524,0.844
58,6.133,10.933,7.392,0.887
59,6.0,10.5,7.246,0.831
60,5.867,10.433,7.123,0.846
61,5.8,10.3,6.994,0.843
62,5.7,10.1,6.882,0.856
63,5.567,9.767,6.767,0.843
64,5.567,9.867,6.621,0.868
65,5.467,9.833,6.457,0.828
66,5.4,9.7,6.324,0.821
67,5.267,9.733,6.207,0.827
68,5.2,9.367,6.103,0.803
69,4.933,9.167,6.013,0.801
70,4.9,9.133,5.894,0.786
71,4.667,9.5,5.816,0.872
72,4.7,9.133,5.713,0.838
73,4.633,9.067,5.605,0.834
74,4.467,8.8,5.49,0.835
75,4.367,8.433,5.393,0.808
76,4.267,8.667,5.291,0.821
77,4.167,8.5,5.2,0.808
78,4.033,8.5,5.112,0.799
79,4.033,8.4,5.04,0.827
80,3.933,8.433,4.968,0.862
81,3.9,7.933,4.868,0.799
82,3.833,7.833,4.805,0.831
83,3.667,8.1,4.688,0.821
84,3.633,8.267,4.573,0.846
85,3.633,8.0,4.514,0.857
86,3.533,7.867,4.407,0.859
87,3.467,8.1,4.33,0.855
88,3.267,7.633,4.257,0.826
89,3.267,7.333,4.174,0.79
90,3.167,7.5,4.12,0.826
91,3.167,7.433,4.072,0.838
92,3.133,7.233,3.976,0.808
93,3.0,7.533,3.908,0.854
94,2.967,7.133,3.852,0.868
95,2.833,7.067,3.753,0.859
96,2.8,6.967,3.64,0.825
97,2.667,6.9,3.553,0.824
98,2.6,6.8,3.526,0.862
99,2.6,7.267,3.471,0.9
100,2.533,6.767,3.387,0.854
101,2.467,6.633,3.29,0.827
102,2.367,6.267,3.196,0.764
103,2.4,6.6,3.199,0.822
104,2.4,6.367,3.164,0.828
105,2.367,6.167,3.077,0.765
106,2.167,6.333,3.037,0.789
107,2.233,6.233,2.991,0.784
108,2.233,6.0,2.923,0.793
109,2.133,6.367,2.888,0.827
110,2.067,6.2,2.855,0.854
111,2.1,6.333,2.764,0.839
112,2.033,6.7,2.738,0.903
113,2.067,5.7,2.657,0.801
114,1.967,6.033,2.616,0.833
115,1.933,5.8,2.556,0.781
116,1.9,5.867,2.536,0.82
117,1.933,5.967,2.497,0.814
118,1.9,5.767,2.471,0.808
119,1.8,6.0,2.44,0.82
120,1.7,5.767,2.444,0.843
121,1.7,5.667,2.376,0.813
122,1.667,5.7,2.342,0.818
123,1.567,5.167,2.273,0.75
124,1.5,5.5,2.271,0.799
125,1.467,5.533,2.24,0.812
126,1.467,5.433,2.189,0.815
127,1.433,5.467,2.124,0.804
128,1.433,5.5,2.089,0.829
129,1.333,5.7,2.047,0.856
130,1.267,5.2,1.962,0.79
131,1.233,5.067,1.933,0.777
132,1.2,5.1,1.907,0.773
133,1.233,5.167,1.88,0.808
134,1.2,4.967,1.849,0.793
135,1.133,5.1,1.824,0.828
136,1.033,5.1,1.785,0.816
137,1.033,4.833,1.742,0.796
138,1.067,5.167,1.718,0.843
139,0.9,4.9,1.647,0.812
140,0.833,4.867,1.591,0.801
141,0.733,5.233,1.56,0.847
142,0.767,5.1,1.523,0.855
143,0.767,4.7,1.443,0.813
144,0.767,4.6,1.398,0.803
145,0.7,4.867,1.373,0.829
146,0.7,4.9,1.37,0.87
147,0.633,4.467,1.328,0.842
148,0.633,4.433,1.264,0.825
149,0.633,4.267,1.221,0.785
150,0.633,4.667,1.195,0.842
151,0.6,4.567,1.155,0.824
152,0.567,4.767,1.138,0.842
153,0.6,4.467,1.123,0.83
154,0.567,4.1,1.062,0.786
155,0.533,4.367,1.044,0.804
156,0.5,4.633,1.058,0.869
157,0.5,4.867,1.031,0.87
158,0.5,4.5,0.996,0.824
159,0.467,4.2,0.971,0.793
160,0.433,4.267,0.984,0.823
161,0.467,4.433,0.958,0.828
162,0.467,4.467,0.971,0.833
163,0.467,4.4,0.957,0.839
164,0.467,4.267,0.932,0.805
165,0.467,4.367,0.911,0.826
166,0.467,4.767,0.873,0.808
167,0.433,4.433,0.879,0.804
168,0.433,3.933,0.869,0.781
169,0.4,4.067,0.855,0.771
170,0.4,4.5,0.87,0.833
171,0.4,4.0,0.83,0.769
172,0.4,4.067,0.853,0.805
173,0.367,4.233,0.823,0.817
174,0.367,3.867,0.823,0.795
175,0.367,4.2,0.812,0.824
176,0.367,4.1,0.789,0.811
177,0.333,3.967,0.787,0.807
178,0.333,4.4,0.757,0.805
179,0.333,4.033,0.744,0.77
180,0.267,4.033,0.771,0.815
181,0.267,4.0,0.743,0.785
182,0.233,4.167,0.744,0.816
183,0.2,4.1,0.737,0.821
184,0.2,4.133,0.719,0.824
185,0.233,4.167,0.711,0.826
186,0.233,3.867,0.708,0.833
187,0.2,3.8,0.65,0.777
188,0.2,3.9,0.649,0.806
189,0.2,4.067,0.639,0.811
190,0.2,4.067,0.616,0.802
191,0.167,4.067,0.626,0.823
192,0.167,3.867,0.613,0.806
193,0.167,3.7,0.585,0.782
194,0.167,4.133,0.591,0.822
195,0.167,3.9,0.576,0.804
196,0.167,4.133,0.586,0.818
197,0.167,3.867,0.599,0.825
198,0.167,4.4,0.634,0.889
199,0.167,4.167,0.582,0.831
200,0.167,3.767,0.561,0.786
201,0.133,3.867,0.56,0.801
202,0.133,4.033,0.578,0.833
203,0.167,3.9,0.577,0.827
204,0.167,3.667,0.56,0.798
205,0.167,4.0,0.558,0.815
206,0.167,3.833,0.565,0.821
207,0.133,4.133,0.535,0.81
208,0.1,3.867,0.54,0.808
209,0.1,3.733,0.512,0.765
210,0.1,3.967,0.52,0.789
211,0.1,4.067,0.519,0.808
212,0.067,3.833,0.515,0.804
213,0.067,3.667,0.514,0.798
214,0.067,3.933,0.484,0.801
215,0.067,3.7,0.493,0.782
216,0.067,4.067,0.512,0.82
217,0.067,3.8,0.48,0.795
