Generation,Minimum Fitness,Maximum Fitness,Average Fitness,Standard deviation
1,24.667,40.667,32.657,5.03
2,24.333,36.5,29.51,3.944
3,23.7,32.067,27.04,2.554
4,23.2,28.967,25.71,1.822
5,22.7,28.033,24.933,1.651
6,22.133,27.533,24.24,1.598
7,21.367,25.8,23.507,1.362
8,20.833,26.267,23.24,1.647
9,20.5,25.567,22.743,1.502
10,19.967,24.667,22.16,1.412
11,19.6,24.867,21.777,1.558
12,19.333,23.9,21.287,1.435
13,18.7,23.667,20.78,1.519
14,18.667,23.333,20.453,1.405
15,18.1,22.433,19.887,1.278
16,17.567,21.667,19.417,1.225
17,17.333,21.9,19.147,1.371
18,17.1,21.467,18.883,1.282
19,16.867,21.133,18.673,1.298
20,16.567,21.633,18.51,1.496
21,16.1,20.833,18.12,1.438
22,16.0,20.1,17.673,1.336
23,15.667,19.967,17.353,1.342
24,15.433,19.6,17.167,1.291
25,14.933,19.2,16.773,1.329
26,14.833,19.167,16.6,1.354
27,14.5,19.133,16.3,1.398
28,14.533,18.567,16.083,1.284
29,14.033,18.5,15.733,1.316
30,13.933,17.967,15.523,1.243
31,13.8,17.933,15.447,1.288
32,13.633,17.767,15.24,1.282
33,13.567,17.633,15.117,1.229
34,13.3,17.133,14.947,1.219
35,13.0,17.133,14.607,1.302
36,12.933,17.133,14.477,1.277
37,12.767,17.1,14.493,1.328
38,12.667,17.1,14.36,1.4
39,12.433,16.733,14.05,1.33
40,12.267,16.5,13.95,1.341
41,12.167,16.233,13.813,1.288
42,12.033,16.5,13.65,1.394
43,11.833,16.267,13.56,1.357
44,11.8,15.6,13.343,1.193
45,11.833,15.6,13.27,1.223
46,11.7,15.4,13.177,1.218
47,11.367,15.767,13.0,1.36
48,11.033,15.533,12.807,1.374
49,10.967,15.8,12.673,1.454
50,10.833,15.0,12.52,1.319
51,10.7,15.2,12.37,1.389
52,10.3,14.6,12.08,1.362
53,10.333,14.4,11.887,1.26
54,10.333,14.167,11.723,1.242
55,10.233,14.433,11.697,1.355
56,10.033,15.2,11.84,1.579
57,10.1,14.633,11.83,1.442
58,9.767,14.533,11.643,1.42
59,9.833,14.2,11.483,1.351
60,9.7,13.7,11.307,1.255
61,9.667,14.033,11.29,1.411
62,9.567,13.8,11.073,1.39
63,9.567,13.433,10.853,1.29
64,9.333,13.433,10.857,1.306
65,9.167,13.767,10.797,1.395
66,9.033,13.8,10.813,1.456
67,8.967,13.767,10.727,1.484
68,8.9,13.033,10.473,1.336
69,8.8,13.3,10.387,1.451
70,8.8,12.9,10.173,1.304
71,8.8,12.6,10.217,1.244
72,8.867,12.433,10.11,1.15
73,8.567,12.767,10.237,1.328
74,8.567,13.067,10.22,1.418
75,8.4,12.367,9.98,1.263
76,8.333,12.833,10.05,1.403
77,8.5,12.2,9.973,1.193
78,8.4,12.633,10.06,1.39
79,8.433,13.667,10.1,1.615
80,8.333,12.633,9.867,1.382
81,8.267,12.6,9.813,1.393
82,8.067,12.767,9.793,1.439
83,8.133,12.233,9.667,1.297
84,7.967,12.567,9.573,1.435
85,7.867,11.933,9.423,1.321
86,7.867,12.133,9.377,1.301
87,7.633,11.767,9.237,1.341
88,7.633,12.133,9.253,1.437
89,7.533,11.9,9.11,1.359
90,7.367,11.7,9.013,1.372
91,7.233,12.0,9.18,1.457
92,7.1,12.0,9.087,1.516
93,7.2,11.533,8.903,1.395
94,7.233,11.667,8.87,1.406
95,7.167,11.867,8.913,1.526
96,7.1,11.833,8.797,1.509
97,7.033,11.767,8.703,1.506
98,7.067,11.233,8.673,1.367
99,7.133,11.3,8.723,1.375
100,7.3,11.233,8.69,1.281
