Generation,Minimum Fitness,Maximum Fitness,Average Fitness,Standard deviation
176,0.133,4.267,0.603,0.858
177,0.133,4.233,0.566,0.828
178,0.133,4.267,0.566,0.845
179,0.1,4.133,0.552,0.828
180,0.1,4.033,0.551,0.829
181,0.1,4.333,0.527,0.828
182,0.067,4.167,0.542,0.853
183,0.1,4.167,0.49,0.801
184,0.1,4.033,0.517,0.844
185,0.1,4.5,0.51,0.855
186,0.1,4.133,0.522,0.83
187,0.1,4.0,0.501,0.793
188,0.1,4.067,0.511,0.827
189,0.1,4.4,0.482,0.834
190,0.067,4.067,0.473,0.808
191,0.1,4.0,0.485,0.819
192,0.1,4.267,0.512,0.847
193,0.1,4.333,0.519,0.85
194,0.1,4.167,0.495,0.834
195,0.1,4.433,0.49,0.853
196,0.1,4.067,0.478,0.822
197,0.1,4.1,0.484,0.83
198,0.1,4.1,0.481,0.819
199,0.1,4.2,0.506,0.857
200,0.067,4.1,0.491,0.836
201,0.067,4.4,0.477,0.839
202,0.033,4.167,0.461,0.8
203,0.067,4.467,0.488,0.845
204,0.067,4.033,0.486,0.812
205,0.067,4.167,0.491,0.848
206,0.067,4.0,0.491,0.821
207,0.067,3.9,0.479,0.812
208,0.067,4.2,0.456,0.799
209,0.067,4.133,0.461,0.813
210,0.067,3.933,0.48,0.822
211,0.067,4.167,0.482,0.827
212,0.067,4.167,0.485,0.833
213,0.067,4.367,0.483,0.838
214,0.067,4.0,0.459,0.802
215,0.067,3.767,0.429,0.77
216,0.067,4.3,0.482,0.857
217,0.067,3.933,0.434,0.805
218,0.033,3.867,0.433,0.805
219,0.033,4.0,0.414,0.79
220,0.033,3.9,0.445,0.814
221,0.033,4.133,0.435,0.82
222,0.033,4.133,0.424,0.802
223,0.033,4.167,0.414,0.806
224,0.033,4.267,0.424,0.822
225,0.033,4.067,0.432,0.832
226,0.033,3.933,0.42,0.816
227,0.033,4.033,0.429,0.826
228,0.033,3.867,0.405,0.795
229,0.033,4.033,0.408,0.81
230,0.033,4.1,0.424,0.829
231,0.033,4.467,0.438,0.877
232,0.0,4.267,0.434,0.866
233,0.0,4.167,0.406,0.819
234,0.0,4.033,0.419,0.822
235,0.0,4.233,0.416,0.842
236,0.0,4.0,0.398,0.8
237,0.0,3.833,0.378,0.78
238,0.0,3.933,0.414,0.831
239,0.0,4.167,0.39,0.82
240,0.0,4.267,0.425,0.859
241,0.0,3.9,0.416,0.844
242,0.0,4.1,0.405,0.832
243,0.0,4.0,0.385,0.822
244,0.0,3.967,0.395,0.831
245,0.0,4.033,0.373,0.814
246,0.0,3.967,0.355,0.781
247,0.0,4.067,0.377,0.816
248,0.0,3.767,0.382,0.821
249,0.0,4.133,0.356,0.805
250,0.0,3.767,0.344,0.779
251,0.0,4.033,0.363,0.814
252,0.0,4.233,0.367,0.822
253,0.0,3.867,0.347,0.774
254,0.0,3.933,0.342,0.775
255,0.0,4.4,0.381,0.84
256,0.0,3.967,0.391,0.826
257,0.0,4.133,0.372,0.824
258,0.0,4.0,0.373,0.825
259,0.0,3.8,0.376,0.797
260,0.0,3.633,0.348,0.767
261,0.0,4.233,0.389,0.852
262,0.0,4.067,0.361,0.802
263,0.0,3.767,0.364,0.792
264,0.0,3.9,0.382,0.819
265,0.0,4.267,0.377,0.833
266,0.0,4.0,0.366,0.799
267,0.0,3.8,0.377,0.807
268,0.0,4.0,0.381,0.826
269,0.0,4.033,0.409,0.864
270,0.0,3.767,0.383,0.798
271,0.0,4.4,0.4,0.853
272,0.0,3.9,0.371,0.802
273,0.0,4.033,0.372,0.811
274,0.0,4.1,0.373,0.832
275,0.0,3.733,0.394,0.812
276,0.0,3.9,0.39,0.82
277,0.0,3.733,0.387,0.809
278,0.0,3.867,0.385,0.812
279,0.0,4.1,0.382,0.83
280,0.0,4.067,0.384,0.823
281,0.0,4.167,0.376,0.814
282,0.0,3.833,0.369,0.802
283,0.0,3.733,0.358,0.774
284,0.0,4.2,0.381,0.834
285,0.0,3.667,0.384,0.805
286,0.0,4.133,0.37,0.802
287,0.0,3.9,0.379,0.819
288,0.0,4.1,0.383,0.835
289,0.0,3.867,0.383,0.808
290,0.0,3.967,0.373,0.808
291,0.0,3.8,0.349,0.785
292,0.0,4.033,0.384,0.83
293,0.0,3.8,0.371,0.794
294,0.0,3.833,0.368,0.786
295,0.0,4.167,0.376,0.815
296,0.0,4.567,0.37,0.849
297,0.0,3.833,0.385,0.811
298,0.0,3.9,0.369,0.803
299,0.0,4.033,0.365,0.805
300,0.0,3.867,0.359,0.778
301,0.0,3.833,0.357,0.783
302,0.0,3.767,0.362,0.785
303,0.0,3.9,0.371,0.799
304,0.0,3.767,0.379,0.808
305,0.0,4.267,0.389,0.84
306,0.0,3.7,0.356,0.782
307,0.0,4.167,0.34,0.768
308,0.0,3.5,0.347,0.746
309,0.0,4.133,0.38,0.81
310,0.0,3.933,0.392,0.809
311,0.0,3.733,0.366,0.785
312,0.0,3.867,0.362,0.79
313,0.0,4.033,0.383,0.824
314,0.0,4.067,0.386,0.821
315,0.0,4.267,0.388,0.824
316,0.0,4.067,0.346,0.777
317,0.0,4.067,0.346,0.811
318,0.0,4.1,0.366,0.812
319,0.0,4.0,0.369,0.811
320,0.0,4.167,0.368,0.827
321,0.0,3.767,0.378,0.794
322,0.0,3.967,0.391,0.828
323,0.0,3.967,0.39,0.82
324,0.0,3.667,0.355,0.778
325,0.0,3.867,0.347,0.776
326,0.0,3.8,0.37,0.796
327,0.0,4.1,0.38,0.826
328,0.0,4.1,0.38,0.825
329,0.0,3.733,0.384,0.796
330,0.0,4.167,0.404,0.843
331,0.0,4.333,0.422,0.874
332,0.0,3.767,0.367,0.783
333,0.0,3.833,0.345,0.763
334,0.0,4.233,0.357,0.801
335,0.0,4.067,0.352,0.8
336,0.0,3.933,0.37,0.804
337,0.0,4.233,0.384,0.842
338,0.0,3.6,0.358,0.775
339,0.0,3.967,0.362,0.801
340,0.0,3.867,0.376,0.811
341,0.0,4.033,0.375,0.826
342,0.0,3.633,0.376,0.791
343,0.0,4.033,0.382,0.822
344,0.0,3.833,0.379,0.816
345,0.0,4.3,0.392,0.832
346,0.0,4.133,0.388,0.822
347,0.0,4.333,0.398,0.859
348,0.0,4.0,0.381,0.816
349,0.0,3.933,0.366,0.807
350,0.0,3.833,0.361,0.795
351,0.0,4.0,0.38,0.825
352,0.0,3.833,0.365,0.802
353,0.0,3.967,0.378,0.825
354,0.0,4.0,0.382,0.826
355,0.0,3.867,0.385,0.817
356,0.0,3.733,0.366,0.78
357,0.0,4.1,0.379,0.826
358,0.0,4.067,0.365,0.82
359,0.0,3.9,0.365,0.785
360,0.0,3.567,0.361,0.773
361,0.0,3.967,0.364,0.799
362,0.0,3.833,0.367,0.79
363,0.0,4.067,0.4,0.841
364,0.0,4.367,0.364,0.827
365,0.0,4.267,0.39,0.844
366,0.0,3.8,0.363,0.786
367,0.0,3.867,0.36,0.797
368,0.0,4.067,0.352,0.789
369,0.0,4.033,0.349,0.795
370,0.0,4.3,0.378,0.842
371,0.0,4.1,0.394,0.828
372,0.0,4.0,0.394,0.822
373,0.0,4.0,0.353,0.788
374,0.0,3.833,0.365,0.801
375,0.0,4.1,0.367,0.801
376,0.0,3.967,0.352,0.786
377,0.0,3.933,0.35,0.786
378,0.0,3.867,0.368,0.806
379,0.0,3.933,0.359,0.796
380,0.0,3.933,0.362,0.785
381,0.0,4.0,0.358,0.796
382,0.0,3.933,0.376,0.807
383,0.0,4.167,0.379,0.824
384,0.0,4.033,0.385,0.812
385,0.0,4.1,0.361,0.801
386,0.0,3.8,0.356,0.787
387,0.0,4.0,0.374,0.82
388,0.0,4.0,0.38,0.814
389,0.0,3.9,0.369,0.798
390,0.0,4.433,0.376,0.856
391,0.0,3.9,0.364,0.795
392,0.0,4.0,0.35,0.797
393,0.0,4.2,0.372,0.822
394,0.0,4.0,0.375,0.818
395,0.0,4.133,0.382,0.822
396,0.0,4.3,0.398,0.852
397,0.0,3.533,0.36,0.773
398,0.0,4.1,0.368,0.809
399,0.0,3.867,0.361,0.793
400,0.0,3.667,0.374,0.797
401,0.0,3.833,0.38,0.796
402,0.0,4.2,0.411,0.862
403,0.0,4.133,0.4,0.832
404,0.0,3.933,0.362,0.79
405,0.0,3.9,0.377,0.801
406,0.0,4.2,0.364,0.815
407,0.0,4.033,0.355,0.793
408,0.0,3.933,0.388,0.826
409,0.0,4.1,0.357,0.808
410,0.0,4.067,0.376,0.811
411,0.0,4.167,0.396,0.845
412,0.0,3.533,0.354,0.763
413,0.0,4.167,0.367,0.827
414,0.0,3.967,0.356,0.785
415,0.0,4.167,0.367,0.804
416,0.0,4.5,0.393,0.859
417,0.0,4.0,0.37,0.803
418,0.0,4.133,0.397,0.832
419,0.0,4.367,0.38,0.838
420,0.0,3.867,0.362,0.796
421,0.0,3.767,0.376,0.803
422,0.0,4.233,0.356,0.815
423,0.0,3.967,0.38,0.813
424,0.0,4.067,0.371,0.811
425,0.0,3.767,0.371,0.778
426,0.0,4.233,0.407,0.848
427,0.0,4.167,0.37,0.805
428,0.0,3.767,0.374,0.793
429,0.0,3.8,0.372,0.794
430,0.0,3.567,0.375,0.803
431,0.0,4.167,0.383,0.834
