Generation,Minimum Fitness,Maximum Fitness,Average Fitness,Standard deviation
1,21.5,50.7,33.309,5.686
2,21.4,42.0,30.272,4.246
3,21.167,36.067,27.824,3.324
4,20.833,33.1,26.04,2.648
5,20.633,30.767,24.68,2.143
6,20.3,28.167,23.579,1.703
7,19.967,26.733,22.765,1.431
8,19.433,25.467,22.078,1.176
9,19.233,24.7,21.556,1.076
10,18.933,24.0,21.069,0.968
11,18.567,23.467,20.654,0.951
12,18.2,23.2,20.257,0.881
13,17.867,22.8,19.898,0.846
14,17.533,22.2,19.526,0.807
15,17.167,21.933,19.209,0.811
16,16.967,21.633,18.871,0.807
17,16.567,21.333,18.536,0.821
18,16.2,20.967,18.186,0.82
19,15.833,20.9,17.859,0.841
20,15.333,20.367,17.529,0.831
21,15.067,19.767,17.178,0.825
22,14.9,19.433,16.858,0.852
23,14.6,19.3,16.508,0.859
24,14.433,19.1,16.136,0.825
25,14.167,18.6,15.823,0.782
26,13.9,18.0,15.528,0.715
27,13.7,17.833,15.268,0.687
28,13.467,17.4,15.022,0.683
29,13.167,17.333,14.77,0.719
30,12.833,17.333,14.497,0.732
31,12.533,16.633,14.209,0.713
32,12.333,16.567,13.938,0.679
33,12.1,16.367,13.703,0.658
34,11.833,15.967,13.488,0.676
35,11.733,15.7,13.257,0.702
36,11.333,15.7,13.015,0.739
37,11.1,15.067,12.729,0.726
38,11.1,14.8,12.461,0.679
39,10.933,14.833,12.223,0.663
40,10.8,14.867,12.036,0.661
41,10.5,14.5,11.83,0.659
42,10.2,14.3,11.634,0.665
43,10.033,13.667,11.432,0.625
44,9.833,13.667,11.241,0.67
45,9.6,13.3,11.03,0.655
46,9.4,13.433,10.842,0.68
47,9.267,13.133,10.635,0.704
48,9.133,13.133,10.43,0.671
49,9.0,12.833,10.233,0.645
50,8.833,12.633,10.05,0.645
51,8.767,12.6,9.857,0.659
52,8.5,12.3,9.668,0.645
53,8.367,12.033,9.496,0.612
54,8.2,11.7,9.307,0.574
55,8.1,11.667,9.155,0.586
56,7.967,11.733,9.009,0.607
57,7.8,11.4,8.852,0.596
58,7.633,11.133,8.686,0.575
59,7.467,11.067,8.543,0.597
60,7.333,11.1,8.402,0.62
61,7.2,11.067,8.239,0.599
62,7.033,10.367,8.087,0.556
63,6.833,10.367,7.967,0.582
64,6.767,10.367,7.831,0.583
65,6.7,10.067,7.687,0.592
66,6.667,9.933,7.526,0.578
67,6.533,9.667,7.376,0.567
68,6.3,9.767,7.249,0.58
69,6.167,9.467,7.105,0.571
70,6.033,9.233,6.969,0.544
71,6.033,9.4,6.878,0.563
72,5.833,9.333,6.77,0.558
73,5.767,9.067,6.666,0.543
74,5.7,8.967,6.569,0.575
75,5.567,8.933,6.444,0.588
76,5.5,8.6,6.307,0.546
77,5.4,8.733,6.192,0.559
78,5.167,8.433,6.075,0.548
79,5.133,8.1,5.978,0.518
80,4.9,8.5,5.895,0.547
81,4.9,8.2,5.799,0.552
82,4.9,8.267,5.695,0.565
83,4.867,8.0,5.61,0.584
84,4.833,7.9,5.49,0.566
85,4.667,8.033,5.37,0.561
86,4.467,7.667,5.263,0.53
87,4.333,7.933,5.176,0.565
88,4.3,7.6,5.072,0.528
89,4.233,7.233,4.997,0.541
90,4.167,7.5,4.902,0.548
91,4.067,7.433,4.799,0.553
92,4.033,7.1,4.705,0.55
93,3.9,7.1,4.601,0.544
94,3.767,6.967,4.506,0.54
95,3.733,6.733,4.422,0.545
96,3.7,6.7,4.322,0.526
97,3.633,6.667,4.214,0.522
98,3.433,6.633,4.137,0.542
99,3.333,6.667,4.057,0.544
100,3.233,6.4,3.982,0.519
101,3.267,6.267,3.915,0.51
102,3.2,6.3,3.843,0.508
103,3.133,6.167,3.792,0.545
104,3.1,6.033,3.696,0.526
105,3.033,6.233,3.618,0.539
106,3.0,6.2,3.542,0.546
107,2.9,5.833,3.469,0.527
108,2.867,5.867,3.417,0.528
109,2.667,5.8,3.341,0.508
110,2.6,5.533,3.291,0.505
111,2.5,5.567,3.233,0.525
112,2.533,5.7,3.175,0.55
113,2.433,5.5,3.097,0.553
114,2.467,5.167,3.01,0.523
115,2.433,5.267,2.929,0.549
116,2.4,5.2,2.837,0.53
117,2.4,5.3,2.772,0.514
118,2.267,5.067,2.702,0.484
119,2.233,4.933,2.659,0.507
120,2.1,4.967,2.61,0.482
121,2.033,4.867,2.581,0.497
122,2.0,4.633,2.524,0.491
123,1.933,4.833,2.494,0.519
124,1.933,4.867,2.442,0.506
125,1.867,4.733,2.372,0.495
126,1.867,4.667,2.318,0.495
127,1.767,4.667,2.266,0.501
128,1.7,4.567,2.216,0.515
129,1.633,4.6,2.159,0.516
130,1.567,4.5,2.104,0.518
131,1.567,4.167,2.043,0.502
132,1.567,4.3,1.996,0.522
133,1.5,3.967,1.934,0.471
134,1.5,4.3,1.909,0.492
135,1.467,4.433,1.87,0.497
136,1.433,3.833,1.806,0.442
137,1.367,4.167,1.769,0.479
138,1.233,3.7,1.716,0.452
139,1.2,3.867,1.67,0.461
140,1.2,3.867,1.652,0.48
141,1.2,3.833,1.611,0.476
142,1.2,3.733,1.575,0.461
143,1.167,3.733,1.537,0.466
144,1.167,3.833,1.518,0.499
145,1.133,3.8,1.489,0.504
146,1.133,3.533,1.438,0.47
147,1.133,3.7,1.407,0.473
148,1.1,3.567,1.382,0.45
149,1.133,3.433,1.361,0.457
150,1.133,3.9,1.357,0.506
151,1.067,3.433,1.321,0.449
152,1.067,3.5,1.311,0.464
153,1.033,3.5,1.292,0.457
154,1.0,3.533,1.272,0.445
155,1.0,3.367,1.268,0.452
156,0.967,3.5,1.254,0.465
157,0.9,3.467,1.235,0.455
158,0.9,3.5,1.214,0.466
159,0.867,3.433,1.177,0.438
